car,model,year,price,region,Mileage,Body Style,Engine,Gearbox,Hand Drive,Color,Condition,link,Engine Volume,Horsepower,Engine Cylinders,Drive train,Battery capacity in kW,Number of electric motors,Range
Chevrolet,Volt ,2014,8900.0,"Armenia, Yerevan",150000.0,Hatchback,Electric,Automatic,Left,Black,Excellent,https://auto.am/offer/3037552,1.4,149,4,FWD,18.0,1.0,70.0
Chevrolet,Volt ,2011,8800.0,"Armenia, Yerevan",120000.0,Sedan,Electric,Automatic,Left,Օther color,Good,https://auto.am/offer/2994551,1.4,200,4,AWD 4x4,10.0,1.0,81.0
Chevrolet,Volt ,2011,8800.0,Armenia,136000.0,Hatchback,Electric,Automatic,Left,Red,Excellent,https://auto.am/offer/3023361,1.4,200,4,AWD 4x4,8.0,1.0,81.0
Chevrolet,Volt ,2012,8800.0,"Armenia, Yerevan",160000.0,Hatchback,Electric,Automatic,Left,Silver,Good,https://auto.am/offer/3023215,1.4,181,4,FWD,12.0,1.0,65.0
Chevrolet,Volt ,2012,8500.0,"Armenia, Yerevan",170000.0,Hatchback,Electric,Automatic,Left,Black,Excellent,https://auto.am/offer/3005970,1.4,183,4,FWD,12.0,1.0,65.0
Nissan,Leaf ,2016,8500.0,"Armenia, Yerevan",110000.0,Hatchback,Electric,Automatic,Left,White,Excellent,https://auto.am/offer/3038466,1.6,188,4,FWD,25.0,1.0,150.0
Chevrolet,Volt ,2014,8400.0,"Armenia, Yerevan",130000.0,Hatchback,Electric,Automatic,Left,Gray,Excellent,https://auto.am/offer/3029363,1.4,149,4,FWD,1.0,1.0,60.0
Chevrolet,Volt ,2013,8300.0,"Armenia, Yerevan",111111.0,Sedan,Electric,Automatic,Left,Black,Good,https://auto.am/offer/3029376,1.4,149,4,FWD,10.0,1.0,70.0
Neta,V Pro ,2023,20000.0,"Armenia, Yerevan",10.0,Wagon,Electric,Automatic,Left,Gray,Excellent,https://auto.am/offer/2910244,2.5,163,4,FWD,40.0,1.0,500.0
Tesla,Model S ,2022,79900.0,"Armenia, Yerevan",800.0,Sedan,Electric,Automatic,Left,Blue,New,https://auto.am/offer/2975958,2.5,670,4,AWD 4x4,110.0,2.0,660.0
