car,model,year,price,region,Mileage,Body Style,Engine,Gearbox,Hand Drive,Color,Condition,link,Engine Volume,Horsepower,Engine Cylinders,Drive train
Toyota,Land Cruiser 200 ,2020,93700.0,Armenia,90000.0,SUV / Truck,Gasoline,Automatic,Left,White,Excellent,https://auto.am/offer/2789996,5.15,309,8,AWD 4x4
BMW,X6 ,2019,93000.0,"Armenia, Yerevan",30000.0,SUV / Truck,Gasoline,Automatic,Left,White,Excellent,https://auto.am/offer/3007541,4.4,530,6,AWD 4x4
Nissan,Patrol ,2022,93000.0,Armenia,3000.0,SUV / Truck,Gasoline,Automatic,Left,Black,Excellent,https://auto.am/offer/3021176,5.6,388,8,AWD 4x4
Nissan,Patrol ,2020,92700.0,Armenia,51000.0,SUV / Truck,Gasoline,Automatic,Left,Black,Excellent,https://auto.am/offer/2954777,2.5,143,4,AWD 4x4
BMW,X5 ,2020,92000.0,Armenia,35000.0,SUV / Truck,Gasoline,Automatic,Left,White,Excellent,https://auto.am/offer/2893275,4.4,530,8,AWD 4x4
BMW,X7 ,2020,92000.0,"Armenia, Yerevan",27000.0,Wagon,Gasoline,Automatic,Left,White,Excellent,https://auto.am/offer/3032839,3.0,340,8,AWD 4x4
BMW,X6 ,2020,92000.0,"Armenia, Ararat",40000.0,SUV / Truck,Gasoline,Automatic,Left,Gray,Excellent,https://auto.am/offer/3025705,3.5,531,8,AWD 4x4
Maserati,Levante ,2021,91700.0,Armenia,28500.0,SUV / Truck,Gasoline,Automatic,Left,Black,Excellent,https://auto.am/offer/2962314,2.5,200,4,AWD 4x4
Lexus,GX 460 Premium ,2022,91000.0,"Armenia, Yerevan",33600.0,SUV / Truck,Gasoline,Automatic,Left,White,Excellent,https://auto.am/offer/3024612,3.5,254,4,AWD 4x4
BMW,750,2020,91000.0,Armenia,45000.0,Sedan,Gasoline,Automatic,Left,Black,Excellent,https://auto.am/offer/3018809,2.0,258,4,RWD
BMW,740,2020,91000.0,Armenia,33500.0,Sedan,Gasoline,Automatic,Left,Black,Excellent,https://auto.am/offer/2946526,3.0,340,2,RWD
