car,model,year,price,region,Mileage,Body Style,Engine,Gearbox,Hand Drive,Color,Condition,link,Engine Volume,Horsepower,Engine Cylinders,Drive train
Land Rover,Range Rover ,2015,65000.0,"Armenia, Yerevan",100000.0,SUV / Truck,Gasoline,Automatic,Left,Black,Excellent,https://auto.am/offer/3035355,5.0,510,8,AWD 4x4
BMW,X5 ,2020,65000.0,"Armenia, Yerevan",63000.0,SUV / Truck,Gasoline,Automatic,Left,Black,Excellent,https://auto.am/offer/2948125,4.4,530,8,AWD 4x4
Mercedes-Benz,S 63 AMG ,2014,65000.0,"Armenia, Yerevan",70000.0,SUV / Truck,Gasoline,Automatic,Left,Black,Excellent,https://auto.am/offer/3027057,5.5,585,8,AWD 4x4
Mercedes-Benz,G 63 AMG ,2014,65000.0,"Armenia, Yerevan",125000.0,SUV / Truck,Gasoline,Automatic,Left,White,Excellent,https://auto.am/offer/3035236,5.5,544,8,AWD 4x4
BMW,X5 ,2019,65000.0,"Armenia, Yerevan",46000.0,SUV / Truck,Gasoline,Automatic,Left,Black,Excellent,https://auto.am/offer/2954543,3.0,340,6,AWD 4x4
Land Rover,Range Rover Velar ,2019,65000.0,"Armenia, Yerevan",108500.0,SUV / Truck,Gasoline,Automatic,Left,White,Excellent,https://auto.am/offer/3040298,3.0,320,5,AWD 4x4
Toyota,Land Cruiser 200 ,2016,65000.0,"Armenia, Yerevan",102000.0,SUV / Truck,Gasoline,Automatic,Left,Black,Excellent,https://auto.am/offer/3036312,4.6,174,8,AWD 4x4
Mercedes-Benz,G 500 ,2012,65000.0,"Armenia, Yerevan",147000.0,SUV / Truck,Gasoline,Automatic,Left,White,Excellent,https://auto.am/offer/3032907,5.0,388,8,AWD 4x4
Land Rover,Range Rover ,2015,65000.0,"Armenia, Yerevan",156000.0,SUV / Truck,Gasoline,Automatic,Left,Black,Excellent,https://auto.am/offer/2832252,5.0,510,8,AWD 4x4
Mercedes-Benz,CLS 55 AMG ,2019,65000.0,"Armenia, Yerevan",54000.0,Sedan,Gasoline,Automatic,Left,White,Excellent,https://auto.am/offer/3038204,4.5,369,8,RWD
Nissan,Patrol ,2018,65000.0,Armenia,88000.0,SUV / Truck,Gasoline,Automatic,Left,Black,Excellent,https://auto.am/offer/2975354,2.5,170,4,AWD 4x4
BMW,X4 ,2020,65000.0,Armenia,30000.0,Wagon,Gasoline,Automatic,Left,White,Good,https://auto.am/offer/3025828,4.4,530,8,AWD 4x4
Cadillac,XT6 ,2021,65000.0,"Armenia, Yerevan",23000.0,SUV / Truck,Gasoline,Automatic,Left,Black,Excellent,https://auto.am/offer/3008348,2.5,200,4,AWD 4x4
BMW,540,2021,65000.0,"Armenia, Yerevan",18000.0,Sedan,Gasoline,Automatic,Left,Black,Excellent,https://auto.am/offer/3017532,3.0,340,6,AWD 4x4
Mercedes-Benz,GLS 63 AMG ,2018,65000.0,"Armenia, Yerevan",64000.0,SUV / Truck,Gasoline,Automatic,Left,Black,Excellent,https://auto.am/offer/3035428,3.0,306,6,AWD 4x4
Mercedes-Benz,GLE 350 ,2019,65000.0,"Armenia, Yerevan",56000.0,SUV / Truck,Gasoline,Automatic,Left,White,Excellent,https://auto.am/offer/3034836,2.0,255,4,AWD 4x4
Land Rover,Range Rover Sport ,2018,65000.0,Armenia,77000.0,SUV / Truck,Diesel,Automatic,Left,Black,Excellent,https://auto.am/offer/2909898,3.0,380,6,AWD 4x4
Land Rover,Range Rover Velar ,2018,65000.0,"Armenia, Yerevan",37000.0,SUV / Truck,Gasoline,Automatic,Left,Օther color,Excellent,https://auto.am/offer/2740154,2.0,380,6,AWD 4x4
Mercedes-Benz,GLE 63 S Coupe ,2019,64999.0,"Armenia, Yerevan",48000.0,SUV / Truck,Gasoline,Automatic,Left,White,Excellent,https://auto.am/offer/3020908,5.5,600,8,AWD 4x4
Mercedes-Benz,GLE 350 ,2019,64900.0,"Armenia, Yerevan",48000.0,SUV / Truck,Gasoline,Automatic,Left,Gray,Excellent,https://auto.am/offer/3024554,2.75,259,4,AWD 4x4
Porsche,Macan ,2022,64500.0,Armenia,10000.0,SUV / Truck,Gasoline,Automatic,Left,White,Excellent,https://auto.am/offer/3027811,2.5,200,4,AWD 4x4
Toyota,Highlander ,2021,64500.0,Armenia,68500.0,SUV / Truck,Gasoline,Automatic,Left,Black,Excellent,https://auto.am/offer/2964389,2.5,203,4,AWD 4x4
BMW,X5 ,2019,64000.0,"Armenia, Yerevan",51200.0,SUV / Truck,Gasoline,Automatic,Left,White,Excellent,https://auto.am/offer/2970589,3.0,340,6,AWD 4x4
Toyota,Land Cruiser 200 ,2019,64000.0,"Armenia, Yerevan",121000.0,SUV / Truck,Gasoline,Automatic,Left,Black,Excellent,https://auto.am/offer/3035553,4.6,309,4,AWD 4x4
Ford,F150 ,2022,64000.0,Armenia,2000.0,Pickup Truck,Gasoline,Automatic,Left,White,Excellent,https://auto.am/offer/3030422,1.5,290,3,AWD 4x4
Lexus,RX 350 F Sport ,2021,64000.0,"Armenia, Yerevan",65000.0,SUV / Truck,Gasoline,Automatic,Left,Black,Excellent,https://auto.am/offer/3024590,3.5,301,8,AWD 4x4
Land Rover,Range Rover Velar ,2019,64000.0,"Armenia, Yerevan",123000.0,SUV / Truck,Gasoline,Automatic,Left,Gray,Excellent,https://auto.am/offer/3038452,2.0,247,5,AWD 4x4
Land Rover,Range Rover Sport ,2019,64000.0,"Armenia, Yerevan",68800.0,SUV / Truck,Gasoline,Automatic,Left,Black,Excellent,https://auto.am/offer/3035002,3.0,429,6,AWD 4x4
Lexus,RX 350 F Sport ,2021,64000.0,Armenia,54000.0,SUV / Truck,Gasoline,Automatic,Left,Black,Excellent,https://auto.am/offer/3039602,3.5,301,8,AWD 4x4
Bentley,Continental GT ,2011,63900.0,"Armenia, Yerevan",40600.0,Coupe,Gasoline,Automatic,Left,Black,Excellent,https://auto.am/offer/3037546,6.0,575,12,AWD 4x4
Lexus,RX 450h ,2021,63700.0,"Armenia, Yerevan",20450.0,Hatchback,Hybrid,Automatic,Left,White,Excellent,https://auto.am/offer/2978461,3.5,301,8,AWD 4x4
Lexus,RX 350 F Sport ,2021,63700.0,"Armenia, Yerevan",43000.0,SUV / Truck,Gasoline,Automatic,Left,Black,Excellent,https://auto.am/offer/3013926,3.5,301,8,AWD 4x4
Toyota,Land Cruiser 200 ,2016,63500.0,"Armenia, Yerevan",108000.0,SUV / Truck,Gasoline and gas,Automatic,Left,Black,Excellent,https://auto.am/offer/3035560,4.6,174,8,AWD 4x4
Mercedes-Benz,S 500 ,2015,63500.0,Armenia,100000.0,Sedan,Gasoline,Automatic,Left,Black,Excellent,https://auto.am/offer/2967884,5.0,462,8,AWD 4x4
Lexus,RX 350 ,2021,63000.0,Armenia,31500.0,SUV / Truck,Gasoline,Automatic,Left,Black,Excellent,https://auto.am/offer/2989848,3.5,295,6,AWD 4x4
Audi,Q8 ,2018,63000.0,"Armenia, Yerevan",80000.0,SUV / Truck,Gasoline,Automatic,Left,White,Excellent,https://auto.am/offer/3028941,3.0,386,4,AWD 4x4
BMW,X3 ,2022,63000.0,"Armenia, Yerevan",22000.0,SUV / Truck,Gasoline,Automatic,Left,White,Excellent,https://auto.am/offer/3027709,3.0,249,6,AWD 4x4
Mercedes-Benz,S 550 ,2018,63000.0,Armenia,95000.0,Sedan,Gasoline,Automatic,Left,Black,Excellent,https://auto.am/offer/2998673,2.0,245,4,RWD
Mercedes-Benz,GLE 43 AMG ,2019,63000.0,"Armenia, Yerevan",102400.0,SUV / Truck,Gasoline,Automatic,Left,Black,Excellent,https://auto.am/offer/2970550,3.0,389,6,AWD 4x4
Lexus,LX 570 ,2013,63000.0,"Armenia, Yerevan",272000.0,SUV / Truck,Gasoline and gas,Automatic,Left,Gray,Excellent,https://auto.am/offer/3027463,5.7,383,8,AWD 4x4
Mercedes-Benz,E 200 ,2020,63000.0,"Armenia, Yerevan",17550.0,Sedan,Gasoline,Automatic,Left,White,Excellent,https://auto.am/offer/3035962,2.0,197,4,AWD 4x4
Lexus,RX 350 ,2020,63000.0,"Armenia, Yerevan",7000.0,SUV / Truck,Gasoline,Automatic,Left,Black,Excellent,https://auto.am/offer/3038426,3.5,296,6,AWD 4x4
Lexus,LX 570 ,2015,63000.0,"Armenia, Yerevan",95000.0,Wagon,Gasoline,Automatic,Left,Black,New,https://auto.am/offer/3038035,5.7,253,4,AWD 4x4
Lexus,GX 460 ,2021,63000.0,"Armenia, Yerevan",24000.0,SUV / Truck,Gasoline,Automatic,Left,White,New,https://auto.am/offer/2997251,4.6,301,8,AWD 4x4
Mercedes-Benz,CLS 400 ,2020,63000.0,"Armenia, Yerevan",39000.0,Sedan,Gasoline,Automatic,Left,Black,Excellent,https://auto.am/offer/3033766,3.0,367,8,AWD 4x4
BMW,X5 ,2018,63000.0,"Armenia, Yerevan",80000.0,SUV / Truck,Gasoline,Automatic,Left,White,Excellent,https://auto.am/offer/3025399,4.4,575,8,AWD 4x4
BMW,X3 ,2022,62500.0,"Armenia, Yerevan",53000.0,SUV / Truck,Gasoline,Automatic,Left,Black,Excellent,https://auto.am/offer/3039967,3.0,249,6,AWD 4x4
Lexus,ES 350 ,2021,62500.0,Armenia,30000.0,Sedan,Gasoline,Automatic,Left,Black,Excellent,https://auto.am/offer/2995910,3.5,306,6,FWD
Mercedes-Benz,C 200 ,2022,62300.0,Armenia,8000.0,Sedan,Gasoline,Automatic,Left,Black,New,https://auto.am/offer/3006180,2.0,204,4,AWD 4x4
Lexus,RX 350 F Sport ,2021,62300.0,"Armenia, Yerevan",88000.0,Hatchback,Gasoline,Automatic,Left,Black,Excellent,https://auto.am/offer/3025040,3.5,301,8,AWD 4x4
Jeep,Wrangler ,2022,62000.0,"Armenia, Yerevan",5000.0,SUV / Truck,Gasoline,Automatic,Left,Red,Excellent,https://auto.am/offer/3001490,2.0,280,4,AWD 4x4
Lexus,RX 350 ,2020,62000.0,"Armenia, Yerevan",71000.0,SUV / Truck,Gasoline,Automatic,Left,White,Excellent,https://auto.am/offer/3024726,3.5,296,6,AWD 4x4
Jeep,Wrangler ,2018,62000.0,"Armenia, Yerevan",44500.0,SUV / Truck,Gasoline,Manual,Left,White,Excellent,https://auto.am/offer/3014131,3.6,285,6,AWD 4x4
BMW,X5 ,2020,62000.0,"Armenia, Yerevan",44000.0,SUV / Truck,Gasoline,Automatic,Left,Blue,Excellent,https://auto.am/offer/3031593,4.4,530,8,AWD 4x4
Mercedes-Benz,S 450 ,2019,62000.0,"Armenia, Yerevan",32000.0,Sedan,Gasoline,Automatic,Left,White,Excellent,https://auto.am/offer/2954750,3.0,367,6,AWD 4x4
Hyundai,Palisade ,2022,62000.0,"Armenia, Yerevan",1600.0,SUV / Truck,Gasoline,Automatic,Left,Blue,Excellent,https://auto.am/offer/3014719,3.8,291,6,AWD 4x4
Toyota,Land Cruiser Prado ,2018,62000.0,Armenia,75000.0,SUV / Truck,Gasoline,Automatic,Left,Black,Excellent,https://auto.am/offer/3021926,4.0,249,6,AWD 4x4
Porsche,Panamera ,2018,62000.0,Armenia,131200.0,Hatchback,Gasoline,Automatic,Left,White,Excellent,https://auto.am/offer/3027101,2.8,276,5,RWD
BMW,330,2022,62000.0,"Armenia, Yerevan",613.0,Sedan,Hybrid,Automatic,Left,Black,sell.condition-values.,https://auto.am/offer/3038637,2.0,256,4,AWD 4x4
Cadillac,Escalade ,2016,62000.0,"Armenia, Kotayk",160000.0,SUV / Truck,Gasoline,Automatic,Left,Black,Good,https://auto.am/offer/3034852,2.5,202,4,RWD
Toyota,Land Cruiser 200 ,2018,62000.0,"Armenia, Yerevan",125000.0,SUV / Truck,Gasoline,Automatic,Left,Silver,Excellent,https://auto.am/offer/3040563,4.6,309,8,AWD 4x4
Mercedes-Benz,GLE 350 ,2020,62000.0,Armenia,58000.0,SUV / Truck,Gasoline,Automatic,Left,Black,Excellent,https://auto.am/offer/3027880,2.0,251,4,AWD 4x4
Lexus,GX 460 ,2017,62000.0,"Armenia, Yerevan",9440.0,SUV / Truck,Gasoline,Automatic,Left,Black,Excellent,https://auto.am/offer/2977709,4.6,301,8,AWD 4x4
Mercedes-Benz,G 500 ,2012,62000.0,Armenia,75000.0,SUV / Truck,Gasoline,Automatic,Left,Black,Excellent,https://auto.am/offer/2829556,5.0,388,8,AWD 4x4
Mercedes-Benz,S 63 AMG ,2014,62000.0,"Armenia, Yerevan",200000.0,Sedan,Gasoline,Automatic,Left,Black,Excellent,https://auto.am/offer/3030043,5.5,585,8,AWD 4x4
BMW,550,2018,62000.0,"Armenia, Yerevan",76800.0,Sedan,Gasoline,Automatic,Left,Black,Excellent,https://auto.am/offer/3025719,2.0,251,4,AWD 4x4
Mercedes-Benz,S 63 AMG ,2015,61500.0,"Armenia, Kotayk",185000.0,Sedan,Gasoline,Automatic,Left,Black,Good,https://auto.am/offer/3014361,5.0,585,8,AWD 4x4
Mercedes-Benz,S 500 ,2016,61500.0,Armenia,145000.0,Sedan,Gasoline,Automatic,Left,Black,Excellent,https://auto.am/offer/2820539,4.7,245,8,AWD 4x4
Mercedes-Benz,S 450 ,2015,61500.0,"Armenia, Yerevan",47000.0,Sedan,Gasoline,Automatic,Left,Black,Excellent,https://auto.am/offer/3040303,5.0,462,8,AWD 4x4
Lexus,RX 350 ,2017,61000.0,"Armenia, Aragatsotn",25638.0,SUV / Truck,Gasoline,Automatic,Left,White,Excellent,https://auto.am/offer/2831892,3.5,295,6,FWD
Dodge,RAM ,2017,61000.0,Russia,28800.0,Pickup Truck,Gasoline,Automatic,Left,Black,Excellent,https://auto.am/offer/2458931,2.4,174,4,FWD
Toyota,Highlander ,2022,61000.0,"Armenia, Yerevan",19000.0,Wagon,Gasoline,Automatic,Left,Black,Excellent,https://auto.am/offer/3010597,3.5,292,6,AWD 4x4
Infiniti,QX80 ,2021,61000.0,"Armenia, Yerevan",93000.0,SUV / Truck,Gasoline,Automatic,Left,Gray,Excellent,https://auto.am/offer/3038089,5.6,405,8,RWD
Mercedes-Benz,GLC 300 ,2021,61000.0,"Armenia, Yerevan",12500.0,SUV / Truck,Gasoline,Automatic,Left,Gray,Excellent,https://auto.am/offer/3025400,2.0,256,4,AWD 4x4
BMW,X4 ,2020,61000.0,"Armenia, Yerevan",35000.0,SUV / Truck,Gasoline,Automatic,Right,White,Excellent,https://auto.am/offer/3011575,4.4,530,8,AWD 4x4
Lexus,ES 350 ,2020,61000.0,"Armenia, Yerevan",15050.0,Sedan,Gasoline,Automatic,Left,Black,New,https://auto.am/offer/3002496,3.5,249,6,FWD
BMW,X5 ,2019,61000.0,"Armenia, Yerevan",37000.0,SUV / Truck,Gasoline,Automatic,Left,Black,Excellent,https://auto.am/offer/3031196,3.0,340,6,AWD 4x4
Land Rover,Range Rover ,2016,61000.0,"Armenia, Yerevan",91000.0,SUV / Truck,Diesel,Automatic,Left,Black,Excellent,https://auto.am/offer/2965452,3.0,510,8,AWD 4x4
Mercedes-Benz,V 300 ,2020,61000.0,Armenia,85000.0,Minivan / Minibus,Diesel,Automatic,Left,Blue,Excellent,https://auto.am/offer/3037368,3.0,239,6,AWD 4x4
Peugeot,306,1994,1500.0,"Armenia, Yerevan",303000.0,Hatchback,Gasoline and gas,Manual,Left,Green,Good,https://auto.am/offer/3039260,1.4,75,5,FWD
Mercedes-Benz,GLE 43 AMG ,2016,60900.0,"Armenia, Yerevan",95000.0,Coupe,Gasoline,Automatic,Left,Black,Excellent,https://auto.am/offer/3037680,4.5,367,8,AWD 4x4
Lexus,ES 250 ,2023,60700.0,Armenia,80.0,Sedan,Gasoline,Automatic,Left,White,Excellent,https://auto.am/offer/3018521,2.5,290,8,AWD 4x4
Toyota,Land Cruiser 200 ,2014,60000.0,"Armenia, Yerevan",188000.0,SUV / Truck,Gasoline,Automatic,Left,Black,Excellent,https://auto.am/offer/2999131,4.0,271,6,AWD 4x4
Volvo,XC90 ,2022,60000.0,"Armenia, Yerevan",5500.0,SUV / Truck,Gasoline,Automatic,Left,Black,New,https://auto.am/offer/3039728,2.0,250,4,AWD 4x4
BMW,530,2022,60000.0,"Armenia, Yerevan",29000.0,Sedan,Gasoline,Automatic,Left,White,Excellent,https://auto.am/offer/3038580,2.0,292,4,RWD
Mercedes-Benz,GLE 43 AMG ,2017,60000.0,"Armenia, Yerevan",140000.0,SUV / Truck,Gasoline,Automatic,Left,White,Excellent,https://auto.am/offer/3037435,3.0,306,6,AWD 4x4
BMW,X5 ,2019,60000.0,"Armenia, Yerevan",50000.0,SUV / Truck,Gasoline,Automatic,Left,White,Excellent,https://auto.am/offer/3038343,3.0,340,6,AWD 4x4
BMW,X5 ,2019,60000.0,"Armenia, Yerevan",76500.0,SUV / Truck,Gasoline,Automatic,Left,White,Excellent,https://auto.am/offer/3017566,4.0,340,6,AWD 4x4
Land Rover,Range Rover Velar ,2018,60000.0,"Armenia, Yerevan",126400.0,SUV / Truck,Gasoline,Automatic,Left,Silver,Excellent,https://auto.am/offer/3040722,3.0,380,4,AWD 4x4
BMW,760,2017,60000.0,"Armenia, Yerevan",116000.0,Sedan,Gasoline,Automatic,Left,Օther color,Excellent,https://auto.am/offer/3036576,2.0,252,4,AWD 4x4
Lexus,GX 460 ,2017,60000.0,"Armenia, Yerevan",89600.0,SUV / Truck,Gasoline,Automatic,Left,Gray,Excellent,https://auto.am/offer/3030287,4.6,301,8,AWD 4x4
Mercedes-Benz,SL 380 ,1983,60000.0,"Armenia, Yerevan",60000.0,Convertible,Gasoline,Automatic,Left,Black,Excellent,https://auto.am/offer/3038586,2.5,218,8,RWD
BMW,740,2019,60000.0,"Armenia, Yerevan",66000.0,Sedan,Gasoline,Automatic,Left,Gray,Excellent,https://auto.am/offer/3039676,3.0,326,6,RWD
Jeep,Wrangler ,2020,60000.0,"Armenia, Yerevan",51700.0,SUV / Truck,Gasoline,Automatic,Left,Gray,Excellent,https://auto.am/offer/3027876,3.6,285,6,AWD 4x4
Mercedes-Benz,G 500 ,2012,60000.0,"Armenia, Yerevan",190000.0,SUV / Truck,Gasoline,Automatic,Left,Black,Excellent,https://auto.am/offer/3003632,5.0,388,8,AWD 4x4
Mercedes-Benz,S 500 ,2016,60000.0,"Armenia, Aragatsotn",90000.0,Sedan,Gasoline,Automatic,Left,Black,Excellent,https://auto.am/offer/3028998,4.7,245,8,AWD 4x4
Mercedes-Benz,S 63 AMG ,2014,60000.0,"Armenia, Yerevan",150.0,Sedan,Gasoline,Automatic,Left,Black,Excellent,https://auto.am/offer/3000391,5.5,585,8,AWD 4x4
Mercedes-Benz,E 450 ,2020,60000.0,"Armenia, Yerevan",32500.0,Sedan,Gasoline,Automatic,Left,Black,Excellent,https://auto.am/offer/3008391,2.0,197,4,AWD 4x4
BMW,740,2017,60000.0,"Armenia, Yerevan",117000.0,Sedan,Gasoline,Automatic,Left,White,Excellent,https://auto.am/offer/2819080,3.0,330,6,RWD
Mercedes-Benz,GLE 53 AMG Coupe ,2016,60000.0,Armenia,95000.0,SUV / Truck,Gasoline,Automatic,Left,White,Good,https://auto.am/offer/3037056,6.3,367,6,AWD 4x4
Mercedes-Benz,G 500 ,2011,60000.0,"Armenia, Yerevan",210000.0,SUV / Truck,Gasoline,Automatic,Left,Black,Excellent,https://auto.am/offer/3036483,5.0,388,8,AWD 4x4
BMW,X5 ,2018,60000.0,Armenia,100000.0,SUV / Truck,Gasoline,Automatic,Left,Gray,Excellent,https://auto.am/offer/2966393,3.0,306,8,AWD 4x4
Maserati,Ghibli ,2016,60000.0,Armenia,8500.0,Sedan,Gasoline,Automatic,Left,Gray,Excellent,https://auto.am/offer/3028248,3.0,410,6,RWD
Lexus,NX 200 ,2022,60000.0,"Armenia, Yerevan",6000.0,Wagon,Gasoline,Automatic,Left,Black,Excellent,https://auto.am/offer/3032335,2.0,235,6,AWD 4x4
Mercedes-Benz,S 560 ,2019,60000.0,"Armenia, Yerevan",70000.0,Sedan,Gasoline,Automatic,Left,White,Excellent,https://auto.am/offer/3026707,2.5,258,4,AWD 4x4
Mercedes-Benz,G 500 ,2014,60000.0,"Armenia, Yerevan",122000.0,SUV / Truck,Gasoline,Automatic,Left,Black,Good,https://auto.am/offer/3037077,5.1,544,8,AWD 4x4
Jeep,Grand Cherokee ,2020,60000.0,Armenia,25600.0,SUV / Truck,Gasoline,Automatic,Left,White,Excellent,https://auto.am/offer/3038853,3.6,294,6,AWD 4x4
Lexus,RX 350 ,2018,60000.0,"Armenia, Yerevan",70238.0,Wagon,Gasoline,Automatic,Left,Black,Excellent,https://auto.am/offer/3034772,3.5,186,4,AWD 4x4
Kia,Rio ,2019,6950.0,"Armenia, Ararat",72000.0,Sedan,Gasoline,Automatic,Left,Black,Damaged,https://auto.am/offer/3001381,2.0,147,4,FWD
Kia,Rio ,2012,6900.0,"Armenia, Yerevan",225000.0,Sedan,Gasoline and gas,Manual,Left,White,Good,https://auto.am/offer/3025914,1.4,107,4,FWD
Chevrolet,Volt ,2012,6900.0,"Armenia, Yerevan",212000.0,Hatchback,Gasoline,Automatic,Left,Black,Good,https://auto.am/offer/3039031,1.4,149,4,FWD
VAZ (Lada),2121 NIVA (4x4) ,2012,6900.0,"Armenia, Yerevan",142000.0,SUV / Truck,Gas,Manual,Left,Black,Good,https://auto.am/offer/3038501,2.5,200,4,AWD 4x4
Mercedes-Benz,C 320 ,2000,6900.0,Armenia,200000.0,Sedan,Gasoline,Automatic,Left,Blue,Excellent,https://auto.am/offer/3032916,3.2,166,4,RWD
BMW,328,2007,6900.0,"Armenia, Yerevan",265000.0,Sedan,Gasoline,Automatic,Left,Green,Good,https://auto.am/offer/3040755,2.9,234,6,RWD
Mercedes-Benz,B 170 ,2006,6900.0,"Armenia, Yerevan",120000.0,Sedan,Gas,Automatic,Left,White,Excellent,https://auto.am/offer/3028178,1.7,116,6,FWD
Mercedes-Benz,B 200 ,2007,6900.0,"Armenia, Yerevan",136000.0,Sedan,Gas,Automatic,Left,White,Excellent,https://auto.am/offer/2800884,3.5,272,6,RWD
Mercedes-Benz,CLA 200 ,2013,17000.0,"Armenia, Yerevan",108.0,Sedan,Gasoline,Automatic,Left,Gray,Good,https://auto.am/offer/3039727,5.0,456,8,AWD 4x4
Toyota,Hilux ,2014,17000.0,"Armenia, Yerevan",284163.0,Pickup Truck,Diesel,Manual,Left,White,Good,https://auto.am/offer/3036955,2.5,178,4,AWD 4x4
Toyota,Hilux ,2014,17000.0,"Armenia, Yerevan",215069.0,Pickup Truck,Diesel,Manual,Left,White,Good,https://auto.am/offer/3036951,2.5,178,4,AWD 4x4
Toyota,Hilux ,2014,17000.0,"Armenia, Yerevan",210860.0,Pickup Truck,Diesel,Manual,Left,White,Good,https://auto.am/offer/3037029,2.5,178,4,AWD 4x4
Subaru,Forester ,2017,17000.0,Armenia,192000.0,SUV / Truck,Gasoline,Automatic,Left,Cherry,Excellent,https://auto.am/offer/3036933,2.5,170,4,AWD 4x4
Opel,Zafira ,2006,6800.0,"Armenia, Yerevan",231000.0,Wagon,Gas,Manual,Left,Silver,Average,https://auto.am/offer/3029396,1.8,125,4,FWD
Opel,Zafira ,2006,6800.0,"Armenia, Yerevan",234000.0,Wagon,Gas,Manual,Left,Blue,Excellent,https://auto.am/offer/3003728,2.2,150,4,FWD
Toyota,Prius ,2006,6800.0,"Armenia, Yerevan",299200.0,Hatchback,Gasoline,Automatic,Left,Blue,Excellent,https://auto.am/offer/2995509,1.5,76,4,FWD
Nissan,Tiida ,2006,6800.0,Armenia,136000.0,Sedan,Gasoline and gas,Automatic,Left,Silver,Excellent,https://auto.am/offer/3031089,1.5,109,4,FWD
Mitsubishi,Airtrek ,2003,6800.0,"Armenia, Yerevan",136000.0,SUV / Truck,Gasoline and gas,Automatic,Left,Silver,Excellent,https://auto.am/offer/3040643,2.0,188,4,AWD 4x4
Honda,Civic ,2005,6800.0,"Armenia, Kotayk",297600.0,Sedan,Gasoline and gas,Automatic,Left,Black,Good,https://auto.am/offer/3010773,1.3,85,4,FWD
Ford,Transit ,2006,6800.0,"Armenia, Ararat",20000.0,Van,Diesel,Manual,Left,Silver,Average,https://auto.am/offer/3039964,1.75,145,6,RWD
Opel,Zafira ,2002,6800.0,"Armenia, Gegharkunik",280000.0,Minivan / Minibus,Gas,Manual,Left,Black,Good,https://auto.am/offer/3037957,1.8,113,4,FWD
Nissan,Serena ,2003,6800.0,"Armenia, Lori",300000.0,Minivan / Minibus,Gasoline,CVT Variable,Right,Silver,Good,https://auto.am/offer/3040067,3.5,200,6,AWD 4x4
Mercedes-Benz,E 350 ,2005,6800.0,"Armenia, Gegharkunik",245000.0,Sedan,Gasoline,Automatic,Left,Sky-blue,Excellent,https://auto.am/offer/3039617,3.5,272,6,RWD
Ford,Explorer ,2003,6800.0,"Armenia, Yerevan",100000.0,SUV / Truck,Gasoline,Automatic,Left,White,Good,https://auto.am/offer/3035650,2.5,200,4,AWD 4x4
Infiniti,FX35 ,2004,6800.0,Armenia,202000.0,SUV / Truck,Gasoline and gas,Automatic,Left,Silver,Excellent,https://auto.am/offer/3021179,2.5,200,4,AWD 4x4
Mitsubishi,Pajero ,1997,6800.0,"Armenia, Yerevan",175000.0,SUV / Truck,Gasoline and gas,Automatic,Left,White,Excellent,https://auto.am/offer/3036783,2.5,200,4,AWD 4x4
Nissan,Versa ,2009,6800.0,"Armenia, Yerevan",192000.0,Sedan,Gasoline,Automatic,Left,Silver,Good,https://auto.am/offer/3037549,1.8,122,4,FWD
Mitsubishi,Airtrek ,2004,6800.0,"Armenia, Yerevan",310000.0,Wagon,Gasoline,Automatic,Left,Silver,Excellent,https://auto.am/offer/3037203,2.0,126,4,AWD 4x4
Mercedes-Benz,E 320 ,2001,6800.0,Armenia,470000.0,Sedan,Gasoline,Automatic,Left,Black,Good,https://auto.am/offer/3034225,3.2,224,6,RWD
VAZ (Lada),2121 NIVA (4x4) ,2016,6800.0,"Armenia, Yerevan",120000.0,Coupe,Gasoline and gas,Manual,Left,White,Excellent,https://auto.am/offer/3038496,1.7,83,4,AWD 4x4
Ford,Focus ,2010,6730.0,"Armenia, Yerevan",195630.0,Sedan,Gasoline,Automatic,Left,Gray,Excellent,https://auto.am/offer/3030448,2.2,115,4,FWD
Dodge,Caliber ,2006,6700.0,"Armenia, Ararat",217000.0,Wagon,Gas,CVT Variable,Left,Gray,Good,https://auto.am/offer/3023573,2.0,158,4,FWD
Mercedes-Benz,E 200 ,2000,6700.0,"Armenia, Gegharkunik",190000.0,Sedan,Gas,Manual,Left,Golden,Excellent,https://auto.am/offer/3040475,2.0,136,4,RWD
Nissan,X-Trail ,2003,6700.0,"Armenia, Kotayk",200000.0,SUV / Truck,Gas,Automatic,Left,White,Good,https://auto.am/offer/2993722,0.2,150,4,AWD 4x4
Nissan,X-Trail ,2002,6700.0,"Armenia, Yerevan",175000.0,SUV / Truck,Gas,Automatic,Right,Gray,Good,https://auto.am/offer/3003662,2.5,135,5,AWD 4x4
Opel,Zafira ,2004,6700.0,"Armenia, Tavush",274000.0,Minivan / Minibus,Gasoline and gas,Manual,Left,Silver,Excellent,https://auto.am/offer/3036148,2.2,147,4,FWD
Nissan,Tiida ,2005,6700.0,"Armenia, Armavir",231000.0,Hatchback,Gasoline,CVT Variable,Right,Black,Excellent,https://auto.am/offer/3030822,1.5,109,4,FWD
Opel,Vectra ,2007,6700.0,"Armenia, Gegharkunik",264000.0,Sedan,Gasoline,Manual,Left,Cherry,Excellent,https://auto.am/offer/3038073,2.0,175,1,FWD
Toyota,Rav 4 ,2001,6700.0,"Armenia, Lori",384000.0,Sedan,Gasoline and gas,Automatic,Left,Օther color,Average,https://auto.am/offer/3037274,2.0,150,4,AWD 4x4
